Movie_Name,Year,Genre,Director,RunTime,Rating,Metascore,Review_url,NumofVotes
Mank,2020,Biography Comedy ,David Fincher,131 min,7,79,https://imdb.com/title/tt10618286/reviews,53920
Judas and the Black Messiah,2021,Biography  History,Shaka King,126 min,7.6,85,https://imdb.com/title/tt9784798/reviews,37016
The Big Bull,2021,Biography Crime ,Kookie Gulati,153 min,5,0,https://imdb.com/title/tt9614452/reviews,8725
The Wolf of Wall Street,2013,Biography Crime ,Martin Scorsese,180 min,8.2,75,https://imdb.com/title/tt0993846/reviews,1214211
The Dig,2021,Biography  History,Simon Stone,112 min,7.1,73,https://imdb.com/title/tt3661210/reviews,51430
The Greatest Showman,2017,Biography  Musical,Michael Gracey,105 min,7.6,48,https://imdb.com/title/tt1485796/reviews,245052
Bohemian Rhapsody,2018,Biography  Music,Bryan Singer,134 min,8,49,https://imdb.com/title/tt1727824/reviews,463654
Schindler's List,1993,Biography  History,Steven Spielberg,195 min,8.9,94,https://imdb.com/title/tt0108052/reviews,1229944
Goodfellas,1990,Biography Crime ,Martin Scorsese,146 min,8.7,90,https://imdb.com/title/tt0099685/reviews,1037025
Madame Claude,2021,Biography Crime ,Sylvie Verheyde,112 min,5.4,0,https://imdb.com/title/tt10307724/reviews,1774
Green Book,2018,Biography Comedy ,Peter Farrelly,130 min,8.2,69,https://imdb.com/title/tt6966692/reviews,397412
Everest,2015,Action Adventure Biography,Baltasar Kormákur,121 min,7.1,64,https://imdb.com/title/tt2719848/reviews,201272
Hamilton,2020,Biography  History,Thomas Kail,160 min,8.5,90,https://imdb.com/title/tt8503618/reviews,62388
Moneyball,2011,Biography  Sport,Bennett Miller,133 min,7.6,87,https://imdb.com/title/tt1210166/reviews,376579
The Pianist,2002,Biography  Music,Roman Polanski,150 min,8.5,85,https://imdb.com/title/tt0253474/reviews,743576
Ford v Ferrari,2019,Action Biography ,James Mangold,152 min,8.1,81,https://imdb.com/title/tt1950186/reviews,307461
Ammonite,2020,Biography  Romance,Francis Lee,120 min,6.5,72,https://imdb.com/title/tt7983894/reviews,8903
Braveheart,1995,Biography  History,Mel Gibson,178 min,8.3,68,https://imdb.com/title/tt0112573/reviews,969237
The United States vs. Billie Holiday,2021,Biography  Music,Lee Daniels,130 min,6.3,52,https://imdb.com/title/tt8521718/reviews,6927
Hacksaw Ridge,2016,Biography  History,Mel Gibson,139 min,8.1,71,https://imdb.com/title/tt2119532/reviews,446195
The Social Network,2010,Biography ,David Fincher,120 min,7.7,95,https://imdb.com/title/tt1285016/reviews,634875
The Irishman,2019,Biography Crime ,Martin Scorsese,209 min,7.8,94,https://imdb.com/title/tt1302006/reviews,334760
City of Lies,2018,Biography Crime ,Brad Furman,112 min,6.4,44,https://imdb.com/title/tt2677722/reviews,7260
Tombstone,1993,Action Biography ,George P. Cosmatos,130 min,7.8,50,https://imdb.com/title/tt0108358/reviews,129291
Rush,2013,Action Biography ,Ron Howard,123 min,8.1,74,https://imdb.com/title/tt1979320/reviews,438720
Bombshell,2019,Biography ,Jay Roach,109 min,6.8,64,https://imdb.com/title/tt6394270/reviews,95235
Into the Wild,2007,Adventure Biography ,Sean Penn,148 min,8.1,73,https://imdb.com/title/tt0758758/reviews,580889
Papillon,2017,Adventure Biography Crime,Michael Noer,133 min,7.2,51,https://imdb.com/title/tt5093026/reviews,59870
The Big Short,2015,Biography Comedy ,Adam McKay,130 min,7.8,81,https://imdb.com/title/tt1596363/reviews,373182
Rocketman,2019,Biography  Music,Dexter Fletcher,121 min,7.3,69,https://imdb.com/title/tt2066051/reviews,144411
The Intouchables,2011,Biography Comedy ,Olivier Nakache,112 min,8.5,57,https://imdb.com/title/tt1675434/reviews,773911
12 Years a Slave,2013,Biography  History,Steve McQueen,134 min,8.1,96,https://imdb.com/title/tt2024544/reviews,649323
Molly's Game,2017,Biography Crime ,Aaron Sorkin,140 min,7.4,71,https://imdb.com/title/tt4209788/reviews,148872
Spotlight,2015,Biography Crime ,Tom McCarthy,129 min,8.1,93,https://imdb.com/title/tt1895587/reviews,427966
I Tonya,2017,Biography Comedy ,Craig Gillespie,119 min,7.5,77,https://imdb.com/title/tt5580036/reviews,186900
The King,2019,Biography  History,David Michôd,140 min,7.2,62,https://imdb.com/title/tt7984766/reviews,93123
Argo,2012,Biography  Thriller,Ben Affleck,120 min,7.7,86,https://imdb.com/title/tt1024648/reviews,579129
Catch Me If You Can,2002,Biography Crime ,Steven Spielberg,141 min,8.1,75,https://imdb.com/title/tt0264464/reviews,849818
A Beautiful Mind,2001,Biography ,Ron Howard,135 min,8.2,72,https://imdb.com/title/tt0268978/reviews,860446
Hidden Figures,2016,Biography  History,Theodore Melfi,127 min,7.8,74,https://imdb.com/title/tt4846340/reviews,205131
The Favourite,2018,Biography Comedy ,Yorgos Lanthimos,119 min,7.5,91,https://imdb.com/title/tt5083738/reviews,177085
Unbroken,2014,Action Biography ,Angelina Jolie,137 min,7.2,59,https://imdb.com/title/tt1809398/reviews,152094
In the Name of the Father,1993,Biography Crime ,Jim Sheridan,133 min,8.1,84,https://imdb.com/title/tt0107207/reviews,160059
BlacKkKlansman,2018,Biography Comedy Crime,Spike Lee,135 min,7.5,83,https://imdb.com/title/tt7349662/reviews,229910
Radioactive,2019,Biography  Romance,Marjane Satrapi,109 min,6.2,56,https://imdb.com/title/tt6017756/reviews,11141
First Man,2018,Biography  History,Damien Chazelle,141 min,7.3,84,https://imdb.com/title/tt1213641/reviews,172707
The Sound of Music,1965,Biography  Family,Robert Wise,172 min,8,63,https://imdb.com/title/tt0059742/reviews,209755
The Imitation Game,2014,Biography  Thriller,Morten Tyldum,114 min,8,73,https://imdb.com/title/tt2084970/reviews,695387
Straight Outta Compton,2015,Biography  History,F. Gary Gray,147 min,7.8,72,https://imdb.com/title/tt1398426/reviews,182051
Above Suspicion,2019,Action Biography Crime,Phillip Noyce,104 min,5.6,54,https://imdb.com/title/tt5688068/reviews,3037
The Disaster Artist,2017,Biography Comedy ,James Franco,104 min,7.4,76,https://imdb.com/title/tt3521126/reviews,140717
American Gangster,2007,Biography Crime ,Ridley Scott,157 min,7.8,76,https://imdb.com/title/tt0765429/reviews,397357
The Queen,2006,Biography  History,Stephen Frears,103 min,7.3,91,https://imdb.com/title/tt0436697/reviews,105089
Dallas Buyers Club,2013,Biography ,Jean-Marc Vallée,117 min,8,80,https://imdb.com/title/tt0790636/reviews,448540
